content_hash_id,action_score,reason_code,action_label
content_6c6e9508361b755f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_9eba18a47685738f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_aacb124f85d734ca,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_2cc3cc91a72eb72b,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_707927981768a24e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_92a08999a1ae67c0,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_d636d2336f9461ee,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_bae51bed9c7c956a,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c880b077ae89212e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8bb0c4614ce1fcbf,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_ea7dc3bccc51cc0d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_809a6c3322442fec,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_b58f78d6cd2c41b5,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_68e564dc4a3b449d,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_3838b38cc94838cf,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_1fd9ca4db091614e,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_a01d5dd118484d80,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_0954a1245199cd4a,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_c4ae56f10403cde3,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_99eaa411f3b1b62f,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_7564f75067978910,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
content_8302d162598f83a1,4,HIGH_VISIBILITY_RISK_ACTIVE_CTR_AT_RISK,refresh_priority
